OBJECTID,grondsoort,FREQUENCY,COUNT_gron
661,   veen  zeeklei,1,1
662,   veen PKB -  ,3,3
663,   veen veen  ,1,1
664,   Veen Veen  ,11,11
665,   veen veen   ,14,14
666,   veen veen  veen,348,348
667,   veen veen veen veen,41,41
668,   Veen Zand Zand,11,11
669,   zand - ,10,10
670,   Zand - -,2,2
671,   zand - - -,2,2
672,   zand - -  ,39,39
673,   zand -  ,4,4
674,   zand -  -,7,7
675,   Zand -  ,6,6
676,   Zand -  -,2,2
677,   zand -   ,9,9
678,   zand -  Zand,1,1
679,   zand - veen  ,1,1
680,   zand - Zand,17,17
681,   Zand - Zand,14,14
682,   zand  ,50,50
683,   zand  -,20,20
684,   Zand  ,21,21
685,   Zand  -,23,23
686,   zand  - ,2,2
687,   zand  - Zand,1,1
688,   zand   ,409,409
689,   Zand   ,122,122
690,   zand     ,9,9
691,   zand   Zand,46,46
692,   zand  Klei,15,15
693,   Zand  Veen,1,1
694,   zand  zand,151,151
695,   zand  Zand,1108,1108
696,   Zand  Zand,1056,1056
697,   zand  zand ,25,25
698,   zand  Zand ,2,2
699,   zand  zand Zand,12,12
700,   zand PKB -  ,1,1
701,   zand PKB  ,1,1
702,   zand PKB  -,1,1
703,   zand PKB   ,15,15
704,   Zand Veen Zand,2,2
705,   zand zand ,36,36
706,   Zand Zand ,44,44
707,   zand zand - Zand,2,2
708,   zand zand  ,52,52
709,   zand zand   ,3,3
710,   zand zand  Zand,90,90
711,   zand zand zand,17,17
712,   zand zand Zand,26,26
713,   Zand Zand Zand,43,43
714,   zand zand zand ,26,26
715,   zand zand zand  ,21,21
716,   zand zand zand Zand,5,5
717,  Klei-Zand Klei-Zand  -,2,2
718,  Klei-Zand Klei-Zand  Klei-Zand,2,2
719,  klei - - ,3,3
720,  Klei - -  -,2,2
721,  Klei - - klei  ,1,1
722,  klei -  ,198,198
723,  klei -  -,17,17
724,  Klei -  -,2,2
725,  klei -   ,3,3
726,  Klei -     ,4,4
727,  klei -   klei  ,24,24
728,  klei -  Klei,1,1
729,  klei -  klei ,2,2
730,  klei - klei ,5,5
731,  Klei - Klei Klei Klei,51,51
732,  klei - veen ,1,1
733,  klei - zand ,1,1
734,  Klei  -   ,6,6
735,  klei   ,88,88
736,  Klei   ,2,2
737,  klei    ,4,4
738,  klei     ,7,7
739,  klei    klei,4,4
740,  klei   Klei,10,10
741,  klei   klei ,3,3
742,  klei   klei veen,10,10
743,  klei  klei ,4,4
744,  klei  zand ,1,1
745,  klei klei - ,6,6
746,  Klei klei -  -,2,2
747,  Klei klei -   ,43,43
748,  Klei klei -  Klei,1,1
749,  klei klei  ,592,592
750,  Klei Klei  ,46,46
751,  Klei Klei  -,4,4
752,  Klei klei    Klei,1,1
753,  klei klei  klei,23,23
754,  klei klei  Klei,2,2
755,  Klei Klei  Klei,6,6
756,  klei klei klei ,381,381
757,  klei klei klei Klei,1,1
758,  Klei klei klei klei Klei,1,1
759,  klei klei klei veen,34,34
760,  klei klei klei Zand,2,2
761,  klei klei zand ,1,1
762,  klei PKB  ,49,49
763,  klei PKB klei ,3,3
764,  klei PKB veen ,1,1
765,  klei PKB zand ,2,2
766,  klei veen  ,13,13
767,  Klei Veen   ,2,2
768,  klei veen  veen,62,62
769,  klei veen klei ,1,1
770,  klei zand  ,1,1
771,  klei zand  Zand,7,7
772,  veen - - ,1,1
773,  veen - - veen ,2,2
774,  veen - - veen -,28,28
775,  veen -  ,114,114
776,  veen -  -,11,11
777,  Veen -  ,1,1
778,  veen -  -  ,2,2
779,  veen -  - veen,4,4
780,  Veen -  - veen,7,7
781,  veen -  - zeeklei,6,6
782,  veen -   ,223,223
783,  veen -   veen,51,51
784,  veen -   zeeklei,1,1
785,  veen -  veen ,160,160
786,  veen -  veen veen,16,16
787,  veen - klei ,1,1
788,  Veen - Klei - Klei,1,1
789,  Veen - Klei Veen Klei,38,38
790,  veen - veen ,16,16
791,  veen - veen  veen,20,20
792,  Veen - Veen Veen  ,5,5
793,  veen - veen veen veen,29,29
794,  Veen - Veen Veen Veen,139,139
795,  Veen - Zand Veen Zand,123,123
796,  veen   ,132,132
797,  Veen   - veen,10,10
798,  veen    ,11,11
799,  Veen    ,1,1
800,  veen    veen,8,8
801,  Veen    Zand,1,1
802,  veen   veen,3,3
803,  veen  veen ,16,16
804,  veen  veen veen,14,14
805,  veen klei klei ,1,1
806,  Veen Klei Klei  Klei,1,1
807,  veen PKB  ,96,96
808,  veen PKB  -,14,14
809,  veen PKB veen ,1,1
810,  veen veen -  ,1,1
811,  veen veen  ,4,4
812,  Veen Veen  ,3,3
813,  veen veen   ,111,111
814,  veen veen   veen,16,16
815,  veen veen  veen,16,16
816,  veen veen  veen ,240,240
817,  veen veen  veen veen,47,47
818,  veen veen klei ,5,5
819,  veen veen klei veen,12,12
820,  veen veen veen  ,9,9
821,  veen veen veen   ,1,1
822,  veen veen veen  veen,1,1
823,  veen veen veen veen veen,27,27
824,  zand - - ,4,4
825,  zand - - -,4,4
826,  Zand - -   ,9,9
827,  Zand - - zand  ,238,238
828,  zand -  ,398,398
829,  zand -  -,543,543
830,  Zand -  ,11,11
831,  Zand -  -,7,7
832,  zand -  - ,23,23
833,  Zand -  - ,23,23
834,  zand -  - Zand,10,10
835,  Zand -  - Zand,62,62
836,  zand -   ,13,13
837,  Zand -   ,6,6
838,  Zand -   -  ,1,1
839,  Zand -     ,4,4
840,  zand -   Zand,22,22
841,  Zand -   Zand,55,55
842,  zand -   zand  ,18,18
843,  Zand -   zand  ,2,2
844,  Zand -   Zand  ,1,1
845,  zand -  Klei,1,1
846,  zand -  Veen,7,7
847,  zand -  Zand,15,15
848,  zand -  zand ,79,79
849,  Zand -  zand ,78,78
850,  zand -  zand Zand,9,9
851,  Zand -  zand Zand,26,26
852,  zand - klei ,1,1
853,  Zand - Klei Zand Klei,38,38
854,  zand - veen ,3,3
855,  zand - Veen ,19,19
856,  Zand - Veen -  ,2,2
857,  Zand - Veen   ,2,2
858,  zand - Veen Veen,3,3
859,  zand - Veen Zand,3,3
860,  Zand - Veen Zand  ,6,6
861,  Zand - Veen Zand Veen,13,13
862,  zand - zand ,34,34
863,  zand - zand -,6,6
864,  Zand - zand - Zand,3,3
865,  Zand - Zand - Zand,2,2
866,  Zand - zand  Zand,1,1
867,  zand - zand Zand,7,7
868,  zand - zand zand ,1,1
869,  Zand - zand zand ,3,3
870,  zand - zand zand Zand,4,4
871,  Zand - zand zand Zand,674,674
872,  Zand - Zand Zand Zand,414,414
873,  zand  - ,1,1
874,  Zand  -  -,1,1
875,  Zand  -   ,11,11
876,  Zand  - zand  ,1,1
877,  zand   ,142,142
878,  Zand   ,56,56
879,  zand   - ,2,2
880,  Zand   - Zand,28,28
881,  zand    ,48,48
882,  Zand    ,9,9
883,  Zand    -,16,16
884,  Zand    - Zand,1,1
885,  zand     ,21,21
886,  Zand     ,1,1
887,  Zand      ,2,2
888,  Zand     Zand,6,6
889,  zand    Veen,3,3
890,  Zand    Veen,1,1
891,  zand    Zand,3,3
892,  Zand    Zand,88,88
893,  Zand    Zand  ,1,1
894,  Zand    Zand Zand,4,4
895,  zand   Klei,2,2
896,  zand   Veen ,1,1
897,  zand   Zand,13,13
898,  zand   zand ,21,21
899,  Zand   zand ,1,1
900,  Zand   Zand ,5,5
901,  zand   zand  ,2,2
902,  zand   zand Zand,6,6
903,  Zand   zand Zand,14,14
904,  Zand  Veen   ,2,2
905,  Zand  Veen Zand  ,1,1
906,  Zand  Veen Zand Zand,1,1
907,  zand  zand ,10,10
908,  zand  Zand ,1,1
909,  Zand  zand - Zand,9,9
910,  Zand  zand   ,1,1
911,  Zand  zand  Zand,3,3
912,  zand  zand zand ,1,1
913,  zand  zand zand Zand,1,1
914,  Zand  zand zand Zand,5,5
915,  Zand  Zand Zand Zand,1,1
916,  Zand klei -   ,14,14
917,  Zand klei   ,1,1
918,  Zand Klei  Klei,1,1
919,  zand PKB - ,3,3
920,  zand PKB  ,298,298
921,  zand PKB  -,12,12
922,  Zand PKB  ,5,5
923,  zand PKB   ,1,1
924,  zand PKB  Veen,7,7
925,  zand PKB  Zand,12,12
926,  zand PKB veen ,5,5
927,  zand PKB Veen ,14,14
928,  zand PKB Veen Veen,3,3
929,  zand PKB zand ,333,333
930,  zand Veen  ,14,14
931,  Zand Veen  ,7,7
932,  zand Veen  Veen,32,32
933,  Zand Veen  Veen,12,12
934,  zand Veen Veen ,2,2
935,  zand Veen Veen Veen,9,9
936,  zand zand - ,1,1
937,  Zand zand - -  ,34,34
938,  zand zand -  ,2,2
939,  Zand zand -   ,32,32
940,  zand zand - Zand,3,3
941,  Zand zand - zand  ,15,15
942,  zand zand  ,20,20
943,  zand Zand  ,8,8
944,  Zand Zand  ,30,30
945,  zand zand  - ,2,2
946,  Zand zand  - ,20,20
947,  Zand zand  - Zand,74,74
948,  zand zand   ,15,15
949,  Zand zand   ,3,3
950,  Zand Zand   ,1,1
951,  Zand zand   Zand,157,157
952,  zand zand  zand,2,2
953,  zand zand  Zand,14,14
954,  zand Zand  Zand,18,18
